Armenia,Armenia
ARM,ARM
Fixed broadband subscriptions,GDP (current US$)
6,2118467913
8,2376335048
10,2807061009
1000,3576615240
1990,4900469950
3900,9206301700
13799,11662040714
39888,8647936748
93586,9260284938
160573,10142111334
212053,10619320049
243058,11121465767
272885,11609512940
286319,10553337673
299170,10546135160
315319,11536590636
